date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,1,LA RUE,No Limit & Gazo & Damso,72,225137,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27384f2454da0973c07a508b57e
18-05-2024,2,C'est carré le S,Naps,74,201533,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
18-05-2024,3,Freestyle LVL UP 1,Ninho,76,114182,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbe613b1c15b681dc3e84dfe
18-05-2024,4,Bolide allemand,SDM,79,176746,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
18-05-2024,5,Freestyle LVL UP 2,Ninho,71,149064,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27351f1cbc3fed8aeb3583ae1ee
18-05-2024,6,Demain,PLK,79,183013,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
18-05-2024,7,Meuda,Tiakola,78,152546,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b2731bbc72ff946f55d4d3188062
18-05-2024,8,Jolie (feat. Ninho),GAULOIS,76,159573,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2733c9df4c3afb30980eec2674e
18-05-2024,9,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
18-05-2024,10,Capitaine,Djadja & Dinaz,77,155920,album,34,TRUE,https://i.scdn.co/image/ab67616d0000b27307d766657a7ded13871265af
18-05-2024,11,Mr. Ocho,SDM,76,226653,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
18-05-2024,12,Laboratoire,Werenoi,75,162840,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
18-05-2024,13,Rush,Ayra Starr,82,185093,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b2734828f4b04d92d6641be98cc5
18-05-2024,14,Solitaire,Werenoi,74,146440,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b273cf79b3201cff3e3a19942f12
18-05-2024,15,La faille,Jul,66,291280,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273bd27d89f43436a6487849fb3
